"year","name","n"
1915,"Kristina",5
1916,"Kramer",5
1916,"Kristine",6
1917,"Kristine",8
1918,"Kristine",9
1919,"Kristine",6
1920,"Kristina",5
1920,"Kristine",9
1921,"Kristina",5
1921,"Kristine",10
1922,"Krikor",6
1922,"Kristine",6
1923,"Kristine",6
1924,"Kristine",7
1925,"Kristine",9
1926,"Kristine",8
1927,"Kristine",7
1928,"Kristine",5
1929,"Kristine",5
1931,"Kristine",7
1932,"Kristin",7
1932,"Kristine",5
1933,"Kristin",9
1934,"Kristin",10
1934,"Kristine",8
1935,"Kristin",11
1935,"Kristine",10
1936,"Kristin",20
1936,"Kristina",5
1936,"Kristine",18
1937,"Kris",5
1937,"Krista",6
1937,"Kristin",34
1937,"Kristina",9
1937,"Kristine",15
1938,"Kristen",7
1938,"Kristin",24
1938,"Kristina",11
1938,"Kristine",26
1939,"Kraig",7
1939,"Kris",6
1939,"Kristen",13
1939,"Kristin",56
1939,"Kristina",11
1939,"Kristine",33
1940,"Kraig",6
1940,"Kris",17
1940,"Kristen",7
1940,"Kristi",8
1940,"Kristie",6
1940,"Kristin",51
1940,"Kristina",16
1940,"Kristine",32
1941,"Kraig",5
1941,"Kris",18
1941,"Kristen",17
1941,"Kristi",11
1941,"Kristin",60
1941,"Kristina",19
1941,"Kristine",61
1941,"Kristy",6
1942,"Kraig",7
1942,"Kris",21
1942,"Kristen",20
1942,"Kristi",28
1942,"Kristian",5
1942,"Kristie",11
1942,"Kristin",87
1942,"Kristina",21
1942,"Kristine",88
1942,"Kristy",11
1943,"Kraig",6
1943,"Kris",35
1943,"Krista",6
1943,"Kristen",51
1943,"Kristi",27
1943,"Kristie",17
1943,"Kristin",99
1943,"Kristina",41
1943,"Kristine",123
1943,"Kristy",9
1944,"Kraig",12
1944,"Kris",69
1944,"Krista",5
1944,"Kristeen",5
1944,"Kristen",48
1944,"Kristi",31
1944,"Kristie",12
1944,"Kristin",108
1944,"Kristina",55
1944,"Kristine",158
1944,"Kristy",7
1945,"Kraig",9
1945,"Kris",71
1945,"Krista",8
1945,"Kristan",17
1945,"Kristeen",7
1945,"Kristen",54
1945,"Kristi",44
1945,"Kristie",12
1945,"Kristin",125
1945,"Kristina",82
1945,"Kristine",213
1945,"Kristofer",5
1945,"Kristy",16
1946,"Kraig",7
1946,"Kris",122
1946,"Krist",5
1946,"Krista",28
1946,"Kristan",11
1946,"Kristeen",11
1946,"Kristen",93
1946,"Kristene",8
1946,"Kristi",112
1946,"Kristie",24
1946,"Kristin",239
1946,"Kristina",133
1946,"Kristine",446
1946,"Kristy",24
1946,"Krystal",16
1947,"Kraig",30
1947,"Kris",161
1947,"Krista",40
1947,"Kristan",14
1947,"Kristeen",16
1947,"Kristen",160
1947,"Kristene",9
1947,"Kristi",109
1947,"Kristian",6
1947,"Kristie",69
1947,"Kristin",276
1947,"Kristina",152
1947,"Kristine",718
1947,"Kristopher",7
1947,"Kristy",73
1947,"Kristyne",5
1947,"Krystal",8
1948,"Kraig",21
1948,"Kreg",5
1948,"Kregg",5
1948,"Kris",210
1948,"Kriss",10
1948,"Krista",36
1948,"Kristan",12
1948,"Kristeen",24
1948,"Kristen",167
1948,"Kristena",5
1948,"Kristene",11
1948,"Kristi",122
1948,"Kristian",7
1948,"Kristie",95
1948,"Kristin",317
1948,"Kristina",216
1948,"Kristine",1033
1948,"Kristopher",10
1948,"Kristy",60
1948,"Krystal",6
1949,"Kraig",29
1949,"Kreg",6
1949,"Kris",201
1949,"Kriss",11
1949,"Krista",65
1949,"Kristan",10
1949,"Kristeen",15
1949,"Kristen",179
1949,"Kristene",11
1949,"Kristi",164
1949,"Kristian",6
1949,"Kristie",132
1949,"Kristin",322
1949,"Kristina",257
1949,"Kristine",1175
1949,"Kristofer",7
1949,"Kristopher",7
1949,"Kristy",85
1949,"Kristyn",5
1949,"Kristyne",7
1949,"Krystal",9
1949,"Krystina",5
1949,"Krystine",8
1950,"Kraig",35
1950,"Kreg",7
1950,"Kris",209
1950,"Kriss",18
1950,"Krista",111
1950,"Kristan",8
1950,"Kriste",6
1950,"Kristeen",25
1950,"Kristen",165
1950,"Kristene",11
1950,"Kristi",167
1950,"Kristian",8
1950,"Kristie",118
1950,"Kristin",357
1950,"Kristina",282
1950,"Kristine",1247
1950,"Kristopher",21
1950,"Kristy",109
1950,"Krystal",8
1951,"Kraig",37
1951,"Kreg",9
1951,"Kris",294
1951,"Kriss",13
1951,"Krist",5
1951,"Krista",129
1951,"Kristal",7
1951,"Kristan",18
1951,"Kriste",9
1951,"Kristeen",42
1951,"Kristen",203
1951,"Kristena",5
1951,"Kristene",25
1951,"Kristi",274
1951,"Kristian",10
1951,"Kristie",232
1951,"Kristin",429
1951,"Kristina",332
1951,"Kristine",1755
1951,"Kristofer",6
1951,"Kristopher",30
1951,"Kristy",173
1951,"Kristyn",9
1951,"Kristyne",8
1951,"Krystal",55
1951,"Krystina",5
1951,"Krystine",14
1952,"Kraig",43
1952,"Kreg",7
1952,"Kris",370
1952,"Kriss",14
1952,"Krist",6
1952,"Krista",154
1952,"Kristal",8
1952,"Kristan",29
1952,"Kriste",7
1952,"Kristeen",42
1952,"Kristel",6
1952,"Kristen",296
1952,"Kristene",20
1952,"Kristi",291
1952,"Kristie",236
1952,"Kristin",444
1952,"Kristina",377
1952,"Kristine",1887
1952,"Kristofer",8
1952,"Kristopher",24
1952,"Kristy",332
1952,"Kristyn",13
1952,"Kristyne",7
1952,"Krys",5
1952,"Krystal",59
1952,"Krystine",11
1952,"Krystyna",9
1953,"Kraig",67
1953,"Kreg",11
1953,"Kris",351
1953,"Krisanne",7
1953,"Kriss",20
1953,"Krist",5
1953,"Krista",171
1953,"Kristal",10
1953,"Kristan",13
1953,"Kriste",6
1953,"Kristee",5
1953,"Kristeen",28
1953,"Kristel",12
1953,"Kristen",263
1953,"Kristene",13
1953,"Kristi",310
1953,"Kristian",14
1953,"Kristie",212
1953,"Kristin",453
1953,"Kristina",251
1953,"Kristine",1247
1953,"Kristofer",7
1953,"Kristopher",19
1953,"Kristy",278
1953,"Kristyn",7
1953,"Kristyne",6
1953,"Krystal",40
1953,"Krystine",5
1953,"Krystyna",7
1954,"Kraig",54
1954,"Kreg",15
1954,"Kregg",7
1954,"Kreig",5
1954,"Kris",389
1954,"Krisandra",6
1954,"Krisann",10
1954,"Kriss",27
1954,"Krista",217
1954,"Kristal",13
1954,"Kristan",7
1954,"Kriste",6
1954,"Kristee",8
1954,"Kristeen",20
1954,"Kristel",11
1954,"Kristen",228
1954,"Kristene",8
1954,"Kristi",355
1954,"Kristian",17
1954,"Kristie",191
1954,"Kristin",411
1954,"Kristina",269
1954,"Kristine",867
1954,"Kristopher",22
1954,"Kristy",267
1954,"Kristyn",8
1954,"Krystal",36
1954,"Krystine",5
1954,"Krystyna",6
1955,"Kraig",70
1955,"Kreg",9
1955,"Kregg",5
1955,"Kreig",6
1955,"Kris",501
1955,"Krisandra",19
1955,"Krisann",9
1955,"Krisanne",7
1955,"Kriss",27
1955,"Krista",241
1955,"Kristal",17
1955,"Kristan",15
1955,"Kriste",36
1955,"Kristee",11
1955,"Kristeen",13
1955,"Kristen",242
1955,"Kristene",8
1955,"Kristi",591
1955,"Kristian",6
1955,"Kristie",330
1955,"Kristin",463
1955,"Kristina",357
1955,"Kristine",994
1955,"Kristofer",9
1955,"Kristopher",36
1955,"Kristy",301
1955,"Kristyn",9
1955,"Kristyne",6
1955,"Krystal",37
1956,"Krag",5
1956,"Kraig",80
1956,"Kreg",8
1956,"Kregg",9
1956,"Kris",569
1956,"Krisan",7
1956,"Krisandra",9
1956,"Krisann",10
1956,"Kriss",29
1956,"Krist",6
1956,"Krista",241
1956,"Kristal",21
1956,"Kristan",10
1956,"Kriste",18
1956,"Kristee",6
1956,"Kristeen",18
1956,"Kristel",11
1956,"Kristen",258
1956,"Kristene",11
1956,"Kristi",669
1956,"Kristian",11
1956,"Kristie",294
1956,"Kristin",453
1956,"Kristina",350
1956,"Kristine",993
1956,"Kristofer",11
1956,"Kristopher",48
1956,"Kristy",369
1956,"Kristyn",9
1956,"Kristyne",5
1956,"Krys",6
1956,"Krystal",45
1956,"Krystyna",11
1957,"Kraig",75
1957,"Kreg",15
1957,"Kregg",6
1957,"Kreig",8
1957,"Kris",776
1957,"Krisann",18
1957,"Krisanne",7
1957,"Krishna",5
1957,"Kriss",20
1957,"Krist",6
1957,"Krista",238
1957,"Kristal",22
1957,"Kristan",12
1957,"Kriste",13
1957,"Kristeen",18
1957,"Kristen",303
1957,"Kristena",6
1957,"Kristene",14
1957,"Kristi",800
1957,"Kristian",15
1957,"Kristie",314
1957,"Kristin",544
1957,"Kristina",355
1957,"Kristine",986
1957,"Kristinia",5
1957,"Kristopher",52
1957,"Kristy",405
1957,"Kristyn",7
1957,"Krystal",62
1957,"Krystine",6
1957,"Krystyna",8
1958,"Kraig",123
1958,"Kreg",17
1958,"Kregg",10
1958,"Kris",1004
1958,"Krisan",6
1958,"Krisandra",5
1958,"Krisann",12
1958,"Krisanne",9
1958,"Krishna",5
1958,"Kriss",33
1958,"Krista",238
1958,"Kristal",29
1958,"Kristan",50
1958,"Kriste",15
1958,"Kristee",6
1958,"Kristeen",21
1958,"Kristel",6
1958,"Kristen",402
1958,"Kristene",17
1958,"Kristi",842
1958,"Kristian",16
1958,"Kristie",351
1958,"Kristin",600
1958,"Kristina",349
1958,"Kristine",1086
1958,"Kristofer",15
1958,"Kristopher",83
1958,"Kristy",505
1958,"Kristyn",12
1958,"Kristyne",9
1958,"Krysia",6
1958,"Krystal",84
1958,"Krysti",5
1958,"Krystine",5
1958,"Krystyna",16
1959,"Krag",5
1959,"Kraig",123
1959,"Kreg",26
1959,"Kregg",11
1959,"Krina",6
1959,"Kris",1059
1959,"Krisann",9
1959,"Krisanne",8
1959,"Krishna",5
1959,"Kriss",39
1959,"Krissy",7
1959,"Krist",8
1959,"Krista",302
1959,"Kristal",54
1959,"Kristan",39
1959,"Kriste",13
1959,"Kristee",6
1959,"Kristeen",21
1959,"Kristel",8
1959,"Kristen",554
1959,"Kristene",9
1959,"Kristi",910
1959,"Kristian",49
1959,"Kristie",303
1959,"Kristin",724
1959,"Kristina",361
1959,"Kristine",1022
1959,"Kristofer",12
1959,"Kristopher",92
1959,"Kristy",491
1959,"Kristyn",13
1959,"Krystal",88
1959,"Krysti",7
1959,"Krystyna",13
1960,"Kraig",161
1960,"Kreg",23
1960,"Kregg",16
1960,"Kris",1043
1960,"Krisann",8
1960,"Krisanne",11
1960,"Krishna",15
1960,"Kriss",46
1960,"Krissy",8
1960,"Krist",8
1960,"Krista",314
1960,"Kristal",73
1960,"Kristan",43
1960,"Kriste",14
1960,"Kristee",5
1960,"Kristeen",15
1960,"Kristel",14
1960,"Kristen",560
1960,"Kristene",11
1960,"Kristi",1058
1960,"Kristian",37
1960,"Kristie",321
1960,"Kristin",781
1960,"Kristina",424
1960,"Kristine",1082
1960,"Kristofer",14
1960,"Kristopher",84
1960,"Kristy",543
1960,"Kristyn",30
1960,"Kristyne",5
1960,"Krys",6
1960,"Krystal",121
1960,"Krysten",6
1960,"Krysti",5
1960,"Krystn",5
1960,"Krystyna",14
1961,"Krag",6
1961,"Kraig",187
1961,"Kreg",30
1961,"Kregg",25
1961,"Kreig",10
1961,"Kricket",5
1961,"Kris",1120
1961,"Krisan",7
1961,"Krisann",17
1961,"Krisanne",5
1961,"Krishna",10
1961,"Krislyn",5
1961,"Kriss",40
1961,"Krissy",11
1961,"Krist",6
1961,"Krista",345
1961,"Kristal",58
1961,"Kristan",42
1961,"Kriste",21
1961,"Kristee",8
1961,"Kristeen",20
1961,"Kristel",19
1961,"Kristen",555
1961,"Kristene",14
1961,"Kristi",1203
1961,"Kristian",33
1961,"Kristie",377
1961,"Kristin",829
1961,"Kristina",560
1961,"Kristine",1182
1961,"Kristofer",19
1961,"Kriston",5
1961,"Kristopher",121
1961,"Kristy",581
1961,"Kristye",6
1961,"Kristyn",16
1961,"Kristyne",5
1961,"Krysta",5
1961,"Krystal",123
1961,"Krysti",6
1961,"Krystyna",10
1962,"Kraig",204
1962,"Kreg",38
1962,"Kregg",22
1962,"Kreig",5
1962,"Kris",1102
1962,"Krisann",13
1962,"Krisanne",8
1962,"Krishna",5
1962,"Kriss",46
1962,"Krissa",5
1962,"Krissy",14
1962,"Krista",448
1962,"Kristal",66
1962,"Kristan",40
1962,"Kriste",15
1962,"Kristee",5
1962,"Kristeen",24
1962,"Kristel",12
1962,"Kristen",772
1962,"Kristene",18
1962,"Kristi",1214
1962,"Kristian",35
1962,"Kristie",323
1962,"Kristin",891
1962,"Kristina",629
1962,"Kristine",1328
1962,"Kristofer",22
1962,"Kristopher",107
1962,"Kristy",559
1962,"Kristyn",19
1962,"Krystal",133
1962,"Krysti",6
1962,"Krystina",7
1962,"Krystine",6
1962,"Krystn",7
1962,"Krystyna",7
1962,"Krzysztof",5
1963,"Kraig",181
1963,"Kreg",26
1963,"Kregg",17
1963,"Krin",6
1963,"Kris",1238
1963,"Krisan",9
1963,"Krisann",10
1963,"Krisanne",10
1963,"Kriss",58
1963,"Krissie",5
1963,"Krissy",7
1963,"Krist",5
1963,"Krista",528
1963,"Kristal",88
1963,"Kristan",49
1963,"Kriste",10
1963,"Kristee",15
1963,"Kristeen",19
1963,"Kristel",16
1963,"Kristen",1033
1963,"Kristena",10
1963,"Kristene",30
1963,"Kristi",1420
1963,"Kristian",59
1963,"Kristiana",5
1963,"Kristiann",5
1963,"Kristie",350
1963,"Kristin",1597
1963,"Kristina",778
1963,"Kristine",1747
1963,"Kristofer",19
1963,"Kristopher",116
1963,"Kristy",741
1963,"Kristyn",28
1963,"Kristyne",8
1963,"Krystal",151
1963,"Krysti",10
1963,"Krystie",5
1963,"Krystina",5
1963,"Krystine",7
1963,"Krystyna",14
1964,"Kraig",184
1964,"Kreg",31
1964,"Kregg",18
1964,"Kris",1374
1964,"Krisan",5
1964,"Krisann",11
1964,"Krisanne",10
1964,"Krisha",8
1964,"Krislyn",5
1964,"Kriss",40
1964,"Krissa",5
1964,"Krissi",6
1964,"Krissy",17
1964,"Krista",614
1964,"Kristal",77
1964,"Kristan",62
1964,"Kriste",22
1964,"Kristee",12
1964,"Kristeen",26
1964,"Kristel",22
1964,"Kristen",1355
1964,"Kristena",5
1964,"Kristene",30
1964,"Kristi",1670
1964,"Kristia",7
1964,"Kristian",47
1964,"Kristiana",6
1964,"Kristie",402
1964,"Kristin",1743
1964,"Kristina",1036
1964,"Kristine",2299
1964,"Kristl",7
1964,"Kristle",7
1964,"Kristofer",27
1964,"Kristopher",149
1964,"Kristy",822
1964,"Kristye",5
1964,"Kristyn",38
1964,"Kristyne",10
1964,"Krys",8
1964,"Krysia",5
1964,"Krysta",11
1964,"Krystal",197
1964,"Krysti",9
1964,"Krystina",6
1964,"Krystine",8
1964,"Krystyna",11
1965,"Kraig",192
1965,"Kreg",31
1965,"Kregg",19
1965,"Krieg",5
1965,"Kris",1386
1965,"Krisa",6
1965,"Krisann",24
1965,"Krisanna",5
1965,"Krisanne",12
1965,"Krisha",8
1965,"Krishna",12
1965,"Kriss",44
1965,"Krissy",23
1965,"Krist",8
1965,"Krista",752
1965,"Kristal",91
1965,"Kristan",72
1965,"Kriste",19
1965,"Kristee",8
1965,"Kristeen",39
1965,"Kristel",26
1965,"Kristen",1743
1965,"Kristena",9
1965,"Kristene",27
1965,"Krister",5
1965,"Kristi",1608
1965,"Kristia",5
1965,"Kristian",55
1965,"Kristiane",7
1965,"Kristie",433
1965,"Kristin",2858
1965,"Kristina",1372
1965,"Kristine",3170
1965,"Kristinia",5
1965,"Kristl",5
1965,"Kristofer",23
1965,"Kriston",6
1965,"Kristopher",184
1965,"Kristy",780
1965,"Kristyn",49
1965,"Kristyne",9
1965,"Krystal",178
1965,"Krysten",5
1965,"Krysti",8
1965,"Krystin",9
1965,"Krystina",7
1965,"Krystine",9
1965,"Krystyna",11
1966,"Kraig",164
1966,"Kreg",30
1966,"Kregg",11
1966,"Kris",1227
1966,"Krisa",6
1966,"Krisandra",9
1966,"Krisann",20
1966,"Krisanne",15
1966,"Krisha",6
1966,"Krishna",12
1966,"Krislyn",6
1966,"Kriss",37
1966,"Krissa",14
1966,"Krissi",6
1966,"Krissie",9
1966,"Krissy",22
1966,"Krist",12
1966,"Krista",846
1966,"Kristal",93
1966,"Kristan",72
1966,"Kriste",15
1966,"Kristee",5
1966,"Kristeen",36
1966,"Kristel",24
1966,"Kristen",2353
1966,"Kristena",10
1966,"Kristene",34
1966,"Kristi",1760
1966,"Kristia",14
1966,"Kristian",74
1966,"Kristiana",5
1966,"Kristianne",6
1966,"Kristie",503
1966,"Kristin",3280
1966,"Kristina",1531
1966,"Kristine",3323
1966,"Kristle",5
1966,"Kristofer",31
1966,"Kristofor",7
1966,"Kriston",7
1966,"Kristopher",205
1966,"Kristy",800
1966,"Kristyn",57
1966,"Kristyne",6
1966,"Krys",5
1966,"Krysta",7
1966,"Krystal",175
1966,"Krysten",9
1966,"Krysti",14
1966,"Krystin",7
1966,"Krystina",6
1966,"Krystine",6
1966,"Krystn",7
1966,"Krystyna",18
1967,"Kraig",172
1967,"Kreg",22
1967,"Kregg",18
1967,"Kris",1043
1967,"Krisan",9
1967,"Krisandra",6
1967,"Krisann",21
1967,"Krisanne",23
1967,"Krisha",5
1967,"Krishna",21
1967,"Krisi",6
1967,"Kriss",38
1967,"Krissa",8
1967,"Krissy",20
1967,"Krist",5
1967,"Krista",865
1967,"Kristal",99
1967,"Kristan",106
1967,"Kriste",20
1967,"Kristee",13
1967,"Kristeen",33
1967,"Kristel",26
1967,"Kristelle",5
1967,"Kristen",2780
1967,"Kristena",6
1967,"Kristene",36
1967,"Kristi",2011
1967,"Kristia",7
1967,"Kristian",101
1967,"Kristiana",5
1967,"Kristiann",6
1967,"Kristianne",9
1967,"Kristie",672
1967,"Kristin",3618
1967,"Kristina",1791
1967,"Kristine",3299
1967,"Kristinia",5
1967,"Kristl",10
1967,"Kristle",9
1967,"Kristofer",23
1967,"Kristoffer",5
1967,"Kriston",12
1967,"Kristopher",191
1967,"Kristy",845
1967,"Kristyn",50
1967,"Kristyne",6
1967,"Krisy",6
1967,"Krysta",12
1967,"Krystal",172
1967,"Krysten",10
1967,"Krysti",11
1967,"Krystin",15
1967,"Krystina",5
1967,"Krystyn",5
1967,"Krystyna",10
1968,"Krag",6
1968,"Kraig",212
1968,"Kreg",36
1968,"Kregg",10
1968,"Kreig",12
1968,"Krik",6
1968,"Kris",880
1968,"Krisa",10
1968,"Krisandra",6
1968,"Krisann",22
1968,"Krisanne",11
1968,"Krisha",6
1968,"Krishna",29
1968,"Krisi",11
1968,"Kriss",32
1968,"Krissa",6
1968,"Krissie",10
1968,"Krissy",24
1968,"Krist",5
1968,"Krista",1047
1968,"Kristal",159
1968,"Kristan",107
1968,"Kriste",20
1968,"Kristee",14
1968,"Kristeen",24
1968,"Kristeena",5
1968,"Kristel",24
1968,"Kristen",3268
1968,"Kristena",14
1968,"Kristene",38
1968,"Krister",5
1968,"Kristi",2315
1968,"Kristia",7
1968,"Kristian",110
1968,"Kristiana",6
1968,"Kristianne",10
1968,"Kristie",990
1968,"Kristien",6
1968,"Kristin",4160
1968,"Kristina",2144
1968,"Kristine",3417
1968,"Kristinia",7
1968,"Kristl",5
1968,"Kristle",5
1968,"Kristofer",33
1968,"Kristoffer",7
1968,"Kristol",6
1968,"Kriston",18
1968,"Kristopher",208
1968,"Kristy",1062
1968,"Kristyn",96
1968,"Kristyne",8
1968,"Krysia",5
1968,"Krysta",11
1968,"Krystal",236
1968,"Krysten",11
1968,"Krysti",11
1968,"Krystin",15
1968,"Krystina",16
1968,"Krystine",8
1968,"Krystyna",9
1969,"Kraig",189
1969,"Kreg",36
1969,"Kregg",13
1969,"Kris",894
1969,"Krisa",5
1969,"Krisan",6
1969,"Krisann",19
1969,"Krisanne",10
1969,"Krisha",9
1969,"Krishna",35
1969,"Krisi",5
1969,"Kriss",20
1969,"Krissa",11
1969,"Krissi",7
1969,"Krissie",9
1969,"Krissy",24
1969,"Krist",16
1969,"Krista",1322
1969,"Kristal",150
1969,"Kristan",125
1969,"Kriste",19
1969,"Kristee",9
1969,"Kristeen",27
1969,"Kristel",36
1969,"Kristen",3855
1969,"Kristena",15
1969,"Kristene",41
1969,"Kristi",2656
1969,"Kristia",9
1969,"Kristian",184
1969,"Kristiana",11
1969,"Kristiane",5
1969,"Kristiann",11
1969,"Kristianna",9
1969,"Kristianne",11
1969,"Kristie",1310
1969,"Kristien",5
1969,"Kristin",4805
1969,"Kristina",2472
1969,"Kristine",3338
1969,"Kristl",10
1969,"Kristle",11
1969,"Kristofer",36
